"commonName,family,category,origin,climate,imgUrl"
"Janet Craig,Liliaceae,Dracaena,Cultivar,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5556.jpg"
"Lady palm,Arecaceae,Palm,China,Subtropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5725.jpg"
"Tailflower,Araceae,Anthurium,Cultivar,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5491.jpg"
"Elephant ear,Araceae,Other,Hybrid,Tropical humid,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5486.jpg"
"Malaysian Dracaena,Liliaceae,Dracaena,Cultivar,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5586.jpg"
"Chinese Evergreen,Araceae,Aglaonema,Hybrid,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5466.jpg"
"Ming Aralia,Araliaceae,Aralia,Malaysia,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5704.jpg"
"Golden Pothos,Araceae,Hanging,South Pacific,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5593.jpg"
"Thread Agave,Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5444.jpg"
"Chicken gizard aralia,Araliaceae,Aralia,Malaysia,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5702.jpg"
"Chinese Evergreen,Araceae,Aglaonema,Hybrid,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5476.jpg"
"Rubber Tree,Moraceae,Ficus,Cultivar,Tropical,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5625.jpg"
"Dill,Apiaceae,Herb,Mediterranean,Temperate,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5621.jpg"
"Oregano,Lamiaceae,Herb,Greece,Temperate,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5622.jpg"
"Tulip,Liliaceae,Flower,Netherlands,Temperate,https://www.google.com/search?q=http://www.tropicopia.com/house-plant/thumbnails/5623.jpg"